customer_id,date,amount,status
CUST0000,2023-09-09,32.6,Paid
CUST0000,2024-03-31,21.53,Missed
CUST0000,2023-06-04,30.6,Paid
CUST0000,2024-02-13,20.6,Paid
CUST0000,2024-06-06,82.03,Paid
CUST0000,2024-04-24,23.91,Paid
CUST0000,2024-07-08,96.1,Paid
CUST0000,2024-01-28,93.4,Missed
CUST0000,2023-06-09,15.32,Paid
CUST0000,2024-08-12,82.17,Paid
CUST0000,2023-11-04,60.94,Paid
CUST0000,2024-07-15,72.13,Paid
CUST0000,2024-12-20,91.0,Paid
CUST0000,2023-09-29,17.83,Paid
CUST0000,2023-12-28,85.41,Paid
CUST0001,2024-03-30,40.28,Paid
CUST0001,2024-05-14,90.78,Paid
CUST0001,2024-08-28,19.25,Paid
CUST0001,2024-07-02,88.37,Paid
CUST0001,2024-10-20,20.79,Paid
CUST0001,2024-12-19,81.38,Paid
CUST0001,2024-11-21,33.95,Paid
CUST0001,2024-10-26,56.61,Paid
CUST0001,2024-04-21,59.92,Paid
CUST0001,2024-07-21,76.27,Paid
CUST0001,2024-09-19,83.95,Paid
CUST0001,2024-08-03,31.15,Paid
CUST0002,2024-11-13,93.15,Paid
CUST0002,2024-04-19,90.91,Paid
CUST0002,2024-05-18,59.24,Paid
CUST0002,2024-09-13,27.42,Paid
CUST0002,2024-12-01,52.76,Paid
CUST0002,2024-10-29,98.03,Paid
CUST0003,2023-09-08,95.33,Missed
CUST0003,2024-01-02,93.25,Paid
CUST0003,2024-04-02,17.18,Paid
CUST0003,2024-08-19,69.15,Paid
CUST0003,2023-09-02,18.67,Paid
CUST0003,2024-11-19,85.03,Missed
CUST0003,2024-10-27,99.55,Paid
CUST0003,2024-08-23,88.95,Paid
CUST0003,2024-05-11,15.78,Paid
CUST0003,2024-06-30,22.04,Paid
CUST0003,2024-08-18,43.77,Paid
CUST0003,2023-07-14,45.57,Paid
CUST0003,2024-08-02,98.01,Paid
CUST0003,2024-05-26,25.85,Paid
CUST0003,2023-10-15,40.02,Paid
CUST0003,2024-12-06,47.97,Missed
CUST0004,2024-01-31,76.77,Paid
CUST0004,2024-09-04,34.54,Paid
CUST0004,2024-04-12,33.66,Paid
CUST0004,2024-11-25,80.65,Paid
CUST0004,2024-12-13,52.02,Paid
CUST0004,2024-06-09,30.21,Paid
CUST0004,2024-02-24,66.47,Paid
CUST0004,2023-12-03,75.54,Paid
CUST0005,2023-12-30,48.41,Paid
CUST0005,2024-09-09,17.44,Paid
CUST0005,2024-04-29,62.2,Paid
CUST0005,2024-12-21,18.62,Paid
CUST0005,2024-03-30,71.33,Paid
CUST0005,2023-07-15,80.03,Paid
CUST0005,2023-11-13,26.92,Paid
CUST0005,2023-11-16,18.87,Paid
CUST0005,2024-12-10,69.28,Paid
CUST0005,2024-01-10,91.37,Paid
CUST0006,2024-09-30,71.32,Paid
CUST0006,2024-04-11,31.79,Paid
CUST0006,2024-08-11,44.2,Missed
CUST0006,2024-01-24,63.21,Paid
CUST0006,2024-12-30,45.13,Paid
CUST0006,2024-01-03,47.16,Paid
CUST0006,2024-02-29,65.92,Paid
CUST0006,2024-07-24,76.18,Paid
CUST0006,2024-08-03,83.12,Paid
CUST0006,2023-11-09,67.63,Paid
CUST0007,2024-10-23,17.67,Paid
CUST0007,2024-11-12,27.38,Paid
CUST0007,2024-10-15,48.24,Paid
CUST0007,2024-10-01,43.37,Missed
CUST0007,2024-10-29,99.97,Paid
CUST0007,2024-11-28,94.83,Paid
CUST0007,2024-09-28,19.85,Paid
CUST0007,2024-09-25,29.49,Paid
CUST0007,2024-09-17,32.33,Missed
CUST0007,2024-11-27,97.3,Paid
CUST0007,2024-09-18,97.33,Paid
CUST0007,2024-09-19,53.89,Paid
CUST0007,2024-10-04,75.31,Paid
CUST0007,2024-11-24,99.85,Paid
CUST0007,2024-11-27,35.06,Paid
CUST0007,2024-10-15,36.61,Paid
CUST0007,2024-10-16,15.48,Paid
CUST0007,2024-12-22,61.22,Paid
CUST0007,2024-10-04,65.6,Paid
CUST0007,2024-09-21,45.54,Paid
CUST0007,2024-10-21,26.0,Paid
CUST0007,2024-10-20,56.85,Paid
CUST0007,2024-10-29,23.94,Paid
CUST0007,2024-09-29,75.43,Missed
CUST0008,2024-10-04,75.18,Paid
CUST0008,2024-06-25,19.17,Paid
CUST0008,2024-12-19,73.83,Paid
CUST0008,2024-05-24,32.3,Paid
CUST0008,2024-09-10,38.25,Missed
CUST0008,2024-09-18,23.23,Paid
CUST0008,2024-11-06,76.34,Paid
CUST0008,2024-10-10,25.96,Paid
CUST0008,2024-09-27,69.35,Paid
CUST0008,2024-09-14,81.6,Paid
CUST0008,2024-06-18,46.46,Paid
CUST0008,2024-06-24,32.91,Paid
CUST0008,2024-09-11,52.62,Missed
CUST0008,2024-11-22,40.63,Paid
CUST0008,2024-12-26,55.97,Paid
CUST0008,2024-07-30,67.39,Paid
CUST0008,2024-10-05,31.93,Missed
CUST0008,2024-12-18,19.49,Paid
CUST0008,2024-12-17,46.25,Paid
CUST0008,2024-11-27,84.03,Paid
CUST0008,2024-08-30,19.05,Paid
CUST0008,2024-05-03,44.48,Paid
CUST0008,2024-04-29,90.41,Paid
CUST0008,2024-03-14,18.06,Paid
CUST0009,2023-10-22,28.49,Paid
CUST0009,2023-08-27,87.27,Paid
CUST0009,2023-09-06,39.39,Paid
CUST0009,2024-03-19,54.38,Paid
CUST0009,2024-11-04,26.49,Paid
CUST0009,2024-10-29,62.75,Paid
CUST0009,2024-02-04,72.19,Paid
CUST0009,2024-04-26,18.42,Paid
CUST0009,2024-04-23,77.09,Paid
CUST0009,2023-11-07,85.42,Paid
CUST0009,2023-09-29,79.41,Paid
CUST0009,2024-02-09,66.07,Paid
CUST0009,2023-10-10,34.14,Paid
CUST0009,2023-04-02,22.83,Paid
CUST0009,2024-05-29,86.13,Paid
CUST0009,2024-05-07,54.0,Paid
CUST0009,2023-06-26,51.98,Paid
CUST0009,2024-06-13,65.5,Paid
CUST0009,2023-07-27,97.76,Paid
CUST0009,2024-09-25,48.34,Paid
CUST0009,2024-07-20,71.46,Paid
CUST0009,2024-11-12,67.92,Paid
CUST0010,2024-07-21,25.06,Paid
CUST0010,2024-12-10,19.94,Paid
CUST0010,2024-10-16,25.47,Paid
CUST0010,2024-10-26,79.5,Paid
CUST0010,2024-05-03,48.99,Paid
CUST0010,2024-09-02,59.51,Paid
CUST0010,2024-10-11,19.12,Paid
CUST0011,2024-03-16,63.55,Paid
CUST0011,2024-01-25,98.53,Paid
CUST0011,2024-12-28,53.69,Paid
CUST0011,2023-12-01,63.95,Paid
CUST0011,2024-10-13,56.18,Paid
CUST0011,2024-09-23,28.04,Paid
CUST0011,2024-07-09,38.07,Paid
CUST0011,2024-04-18,28.9,Paid
CUST0011,2024-11-07,71.51,Paid
CUST0011,2024-04-06,82.34,Paid
CUST0011,2023-09-19,95.03,Paid
CUST0011,2023-07-16,86.23,Paid
CUST0011,2024-02-24,19.45,Paid
CUST0011,2023-10-01,49.85,Paid
CUST0011,2024-03-11,27.25,Paid
CUST0011,2024-09-03,35.93,Paid
CUST0011,2024-12-22,71.24,Paid
CUST0011,2023-09-04,55.77,Paid
CUST0011,2024-02-29,80.88,Paid
