customer_id,date,minutes_used,sessions
CUST0000,2024-07-07,193.40644961333874,2
CUST0000,2023-10-10,212.47429635991494,2
CUST0000,2023-09-28,382.63457950019585,4
CUST0000,2024-10-05,214.51408793548177,1
CUST0000,2023-11-14,176.93344662136764,5
CUST0000,2023-11-28,214.59574784346944,2
CUST0000,2023-07-31,336.0581699262146,4
CUST0000,2023-12-03,324.7296799303297,2
CUST0000,2024-06-08,276.92537980261204,1
CUST0000,2023-12-29,165.30957715980276,3
CUST0000,2024-02-29,308.96336532451824,4
CUST0000,2023-10-28,66.28321533210524,1
CUST0000,2024-06-30,285.62982802145575,4
CUST0000,2024-08-13,205.6194107417935,4
CUST0000,2023-09-15,367.3502074339556,3
CUST0000,2023-07-15,208.66711342203837,1
CUST0000,2023-12-16,324.04517918880435,3
CUST0000,2023-06-03,293.0852182598321,3
CUST0000,2023-06-23,120.06010960326601,4
CUST0000,2024-10-16,423.75365784528293,1
CUST0000,2024-02-20,201.38767567288994,3
CUST0000,2023-08-23,241.58690357558112,2
CUST0001,2024-10-28,220.41664431350387,1
CUST0001,2024-07-06,44.58053993262382,2
CUST0001,2024-05-30,80.72261550936707,5
CUST0001,2024-03-30,131.47128015989233,2
CUST0001,2024-08-26,267.11388253628684,1
CUST0001,2024-07-15,255.40890509879887,3
CUST0001,2024-05-19,172.6547345962387,3
CUST0001,2024-07-03,214.10802029608683,4
CUST0001,2024-07-21,402.47207163218474,4
CUST0001,2024-11-11,340.96337923473357,4
CUST0001,2024-04-25,403.80805432753607,5
CUST0001,2024-05-26,199.00368819252432,1
CUST0001,2024-11-30,125.94656161658013,2
CUST0001,2024-11-08,139.52168769497547,4
CUST0001,2024-03-31,191.4178625568825,4
CUST0001,2024-09-21,314.05500708645644,3
CUST0002,2024-12-02,177.6827850409688,2
CUST0002,2024-09-03,69.25703330743346,2
CUST0002,2024-08-01,238.94350757521076,3
CUST0002,2024-10-26,476.68087968682335,4
CUST0002,2024-10-14,235.50348864515217,4
CUST0002,2024-06-15,266.1094009222498,5
CUST0002,2024-09-28,206.8308173580036,4
CUST0002,2024-04-28,85.72456368499282,3
